"Configure your payment option as defined on your Oney 3x4x contract. You can find the value directly from your Oney interface.","Configura la tua opzione di pagamento come definita nel tuo contratto Oney 3x4x. Puoi trovare il valore direttamente dalla tua interfaccia Oney."
"Group Cards","Carte di gruppo"
"Group credit and debit cards under one single button on the checkout page","Raggruppa le carte di credito e di debito sotto un unico pulsante nella pagina di pagamento"
"Please go to an ATM to validate the Multibanco payment.","Recarsi presso un bancomat per convalidare il pagamento Multibanco."
"Process Mealvouchers","Processi Mealvouchers"
"Allowed Number Of Payment Attempts","Numero consentito di tentativi di pagamento"
"Set the number of times a customer can attempt a declined payment on the hosted checkout page. After reaching this retry limit, the transaction will be considered as definitely declined and customer will be redirected back to your store.","Imposta il numero di volte in cui un cliente può tentare un pagamento rifiutato nella pagina di pagamento ospitata. Dopo aver raggiunto questo limite di tentativi, la transazione verrà considerata definitivamente rifiutata e il cliente verrà reindirizzato al tuo negozio."
"Enter a value from 1-10. Default value is 10.","Immettere un valore compreso tra 1 e 10. Il valore predefinito è 10."
"Enter a value from 1-1440. Default value is 180.","Immettere un valore compreso tra 1 e 1440. Il valore predefinito è 180."
"Session Timeout","Timeout della sessione"
"Set in minutes how long the hosted payment page session should last for. Customers attempting to process their payment past this time limit will not be allowed to complete their transaction. Allowed value ranges from 1 minute to 1440 minutes (24 hours). By default, the hosted payment page has a session timeout of 180 minutes. Leave this box empty to use the default session timeout.","Imposta in minuti la durata della sessione della pagina di pagamento ospitata. Ai clienti che tentano di elaborare il pagamento oltre questo limite di tempo non sarà consentito completare la transazione. Il valore consentito varia da 1 minuto a 1440 minuti (24 ore). Per impostazione predefinita, la pagina di pagamento ospitata ha un timeout della sessione di 180 minuti. Lascia vuota questa casella per utilizzare il timeout della sessione predefinito."
"Direct Debit Recurrence Type","Tipo di ricorrenza dell'addebito diretto"
"Direct Debit Signature Type","Tipo di firma dell'addebito diretto"
"Oney3x4x payment option","Opzione di pagamento Oney3x4x"
"Select which modes of bank transfer you want to allow.'Instant Payments Only' : Receive transfer confirmation within 20 minutes. Limits customer bank choices to only those supporting instant payments.'Standard & Instant Payments' : Accept transfers from all banks. Broader customer bank choice but it can take up to 96 hours for transfer confirmation.","Seleziona le modalità di bonifico bancario che desideri consentire. 'Instant Payments Only': ricevi la conferma del trasferimento entro 20 minuti. Limita le scelte delle banche dei clienti solo a quelle che supportano i pagamenti istantanei. 'Standard & Instant Payments': accetta trasferimenti da tutte le banche. Scelta più ampia della banca del cliente, ma possono essere necessarie fino a 96 ore per la conferma del trasferimento."
"Fixed soft descriptor","Descrizione fissa"
"Minimum 2, maximum 15 characters. You can specify a fixed value that will be sent to the banks handling the payment. If the consumer's bank is supporting that, this value can be displayed on the consumer's bank slip. Important note : setting a value here is mandatory in order to use Pledg payment method.","Minimo 2, massimo 15 caratteri. È possibile specificare un valore fisso che sarà inviato alle banche che gestiscono il pagamento. Se la banca del consumatore supporta questa funzione, questo valore può essere visualizzato sull’estratto conto bancario del consumatore. Nota importante: impostare un valore qui è obbligatorio per utilizzare il metodo di pagamento Pledg."
